	zero	Kinesis	telicity	durative	affirmation	mode	P_affectedness	P_definiteness	P_animacy	P_concreteness	A_definite	A_animacy	A_number	clause	corpus
dilakukan	zero	1	1	1	1	1	0	0	0	0	1	0	1	relative	kompas
dikatakan	oleh	1	1	1	1	1	0	1	0	0	0	1	4	main	web
dilakukan	zero	1	1	1	1	1	0	1	0	0	0	1	2	adverbial	kompas
dilakukan	oleh	1	0	1	1	0	0	0	0	0	1	0	1	relative	web
dilakukan	zero	1	1	1	1	1	0	0	0	0	0	1	5	main	web
dilakukan	oleh	1	1	1	1	1	0	0	0	0	0	1	1	relative	web
dikatakan	oleh	1	1	1	1	1	0	1	0	0	1	1	1	relative	web
dilakukan	zero	1	1	1	1	1	0	0	0	0	1	1	2	main	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	1	1	0	1	relative	kompas
dikenal	zero	0	0	1	1	1	0	0	0	1	0	0	2	relative	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	1	0	2	relative	web
dilakukan	oleh	1	1	0	1	1	0	1	0	0	1	1	1	main	web
dikatakan	zero	1	1	1	1	1	0	1	0	0	1	1	3	main	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	0	1	2	relative	kompas
dilakukan	oleh	1	1	1	1	1	0	0	0	0	0	0	2	relative	web
dilakukan	oleh	1	1	1	1	1	0	1	0	0	0	0	3	sub	kompas
dilakukan	zero	1	0	1	1	1	0	0	0	0	1	1	8	main	kompas
digunakan	zero	1	0	1	1	1	1	0	0	1	1	0	2	relative	kompas
dilakukan	zero	1	0	1	1	1	0	0	0	0	0	1	3	relative	kompas
dilakukan	zero	1	0	1	1	1	0	0	0	0	1	0	3	relative	kompas
dilakukan	oleh	1	1	1	0	0	0	0	0	0	0	1	2	relative	web
digunakan	oleh	1	0	1	1	1	0	0	0	0	0	1	1	relative	web
digunakan	oleh	1	0	1	1	1	0	1	0	1	0	1	2	relative	web
dilakukan	zero	1	0	1	1	0	0	1	0	0	0	1	2	relative	web
dilakukan	zero	1	1	1	1	1	0	1	0	0	0	1	8	main	kompas
dilakukan	zero	1	0	1	1	1	0	0	0	0	1	0	1	relative	web
digunakan	oleh	1	1	0	1	1	0	1	0	1	0	1	1	adverbial	web
dibuat	zero	1	1	0	1	1	1	0	0	0	1	0	1	relative	web
diberikan	oleh	1	1	0	1	1	1	0	0	0	0	1	2	relative	web
dilakukan	zero	1	0	1	0	1	0	0	0	0	0	1	4	main	kompas
dilakukan	zero	1	1	1	1	1	0	1	0	0	1	0	7	main	kompas
diberikan	oleh	1	1	1	1	1	0	0	0	0	0	1	1	relative	web
diberikan	oleh	1	1	0	1	1	0	0	0	0	0	0	2	relative	web
dilakukan	zero	1	0	1	1	0	0	0	0	0	0	1	1	relative	web
dilakukan	zero	1	1	1	1	1	0	0	0	0	1	0	14	relative	kompas
dilakukan	zero	1	1	1	1	0	0	0	0	0	0	0	3	relative	kompas
dilakukan	zero	1	1	1	1	1	0	0	0	0	1	0	2	relative	kompas
dilakukan	zero	1	0	1	1	1	0	0	0	0	1	0	5	main	kompas
dilakukan	oleh	1	0	1	1	1	0	0	0	0	0	0	1	relative	web
digunakan	oleh	1	1	1	1	1	0	0	0	1	0	1	1	relative	web
dilakukan	zero	1	1	1	1	1	0	1	0	0	1	0	6	relative	web
dikenal	oleh	0	0	1	1	1	0	1	0	0	0	1	6	main	kompas
disebut	zero	1	1	1	1	1	0	1	0	0	1	1	2	relative	web
dilakukan	zero	1	1	1	1	1	0	0	0	0	1	1	1	relative	web
dilakukan	zero	1	0	1	1	1	0	0	0	0	1	0	1	relative	kompas
dilakukan	zero	1	1	0	1	1	0	0	0	0	0	0	1	sub	kompas
dilakukan	oleh	1	0	1	1	1	0	0	0	0	0	1	1	relative	web
diberikan	zero	1	1	1	1	1	0	0	0	0	1	1	1	relative	web
ditemukan	oleh	1	1	0	1	1	0	0	0	0	0	1	2	relative	web
diberikan	oleh	1	1	1	1	1	0	1	0	0	1	1	1	sub	web
dilakukan	oleh	1	1	0	1	1	0	0	0	0	0	1	2	main	web
digunakan	zero	1	1	1	1	1	0	0	0	0	1	0	5	adverbial	web
diberikan	oleh	1	1	1	1	1	0	0	0	0	1	1	6	main	kompas
